SalePrice,id
121983.779933,1461
153376.012862,1462
182104.073814,1463
193856.366296,1464
196442.353291,1465
174336.448107,1466
176186.735933,1467
164210.190733,1468
192282.286576,1469
120047.860147,1470
191058.371724,1471
96059.5368696,1472
95445.8948893,1473
147192.08901,1474
120838.097225,1475
363924.451126,1476
247840.917112,1477
297869.756702,1478
282339.094855,1479
476096.238405,1480
323072.010398,1481
210371.603843,1482
177023.564793,1483
165333.519525,1484
187818.427873,1485
194066.575374,1486
337445.722716,1487
236672.608742,1488
197746.563069,1489
225616.393833,1490
194284.188036,1491
94116.3728037,1492
186222.784569,1493
299867.39735,1494
291362.391797,1495
233398.120084,1496
183583.263093,1497
165000.392574,1498
161193.727506,1499
153848.278497,1500
173985.896164,1501
150724.505199,1502
289705.70393,1503
239117.847278,1504
225089.506191,1505
185942.75443,1506
238610.079369,1507
200754.823333,1508
163747.644575,1509
145135.8438,1510
149509.198996,1511
172891.285924,1512
151851.007134,1513
156182.650004,1514
191301.419328,1515
157477.182478,1516
165706.358205,1517
131627.883349,1518
213323.031118,1519
129777.516435,1520
133159.841518,1521
174331.354042,1522
112685.266016,1523
125090.586143,1524
120655.648669,1525
115484.086032,1526
106142.491166,1527
135722.023845,1528
148851.192591,1529
181443.472058,1530
108159.663674,1531
100325.728261,1532
145429.112116,1533
123222.774002,1534
148218.643657,1535
109139.364372,1536
67444.3263183,1537
152443.475267,1538
198392.196505,1539
97014.7049966,1540
139324.225322,1541
139972.48934,1542
195132.879901,1543
84765.9123852,1544
112986.107176,1545
134278.827885,1546
130469.710407,1547
139054.702464,1548
118464.62083,1549
136687.428506,1550
110198.816498,1551
136774.276742,1552
145619.708597,1553
115293.628369,1554
161203.619714,1555
86959.0976531,1556
109486.401193,1557
97294.7343206,1558
73290.8377479,1559
134518.704808,1560
132518.79775,1561
129447.267745,1562
119607.274425,1563
153721.052874,1564
152517.155267,1565
234442.382097,1566
77575.0096548,1567
229286.155317,1568
127864.853487,1569
136938.944524,1570
124310.60611,1571
143008.244447,1572
234220.293664,1573
118328.779913,1574
224620.500481,1575
237167.866852,1576
187051.441937,1577
150971.126297,1578
144339.299198,1579
196070.523946,1580
150940.707945,1581
125884.11465,1582
299377.699497,1583
221228.859882,1584
136815.584946,1585
68674.3843605,1586
105135.336078,1587
151787.459486,1588
95896.2123842,1589
133828.88049,1590
94833.9032258,1591
115555.560087,1592
125060.212402,1593
122200.324566,1594
107902.512603,1595
225553.440808,1596
186442.765913,1597
217625.569959,1598
175530.103548,1599
168362.721694,1600
67383.6891733,1601
114826.943834,1602
78099.8447473,1603
263212.420019,1604
243359.167185,1605
168075.538738,1606
168949.524706,1607
216982.169186,1608
186094.843276,1609
153789.387821,1610
140529.65722,1611
168774.245989,1612
163326.356632,1613
127460.713561,1614
91815.3398269,1615
78383.8264118,1616
93732.5239101,1617
125657.755838,1618
137427.877632,1619
151501.690681,1620
139025.025056,1621
144127.561922,1622
266477.913014,1623
208333.609402,1624
122008.844725,1625
170875.844225,1626
191590.560232,1627
278289.314508,1628
181030.49869,1629
339007.266452,1630
226170.942415,1631
246328.404208,1632
173795.652805,1633
183496.55445,1634
177656.264784,1635
154036.2587,1636
195055.938593,1637
188892.895717,1638
188013.563987,1639
249404.873447,1640
183879.922582,1641
236686.389491,1642
217403.944969,1643
231854.651633,1644
192867.757736,1645
157965.824483,1646
161922.224261,1647
132159.201485,1648
139633.699668,1649
114800.546502,1650
120915.123606,1651
96704.116384,1652
98642.6432241,1653
146330.550582,1654
141314.464067,1655
142504.047423,1656
147622.953917,1657
144299.866968,1658
125675.550037,1659
153417.880228,1660
422268.639549,1661
405120.435,1662
377564.059765,1663
417323.653002,1664
308437.011838,1665
333437.208017,1666
369305.593427,1667
343744.482809,1668
311785.437568,1669
354626.86135,1670
261091.997369,1671
434740.219603,1672
291460.529505,1673
244822.864976,1674
192403.920472,1675
